,Name,Place,Type,Price,ReviewsCount,Rating,City,State
486,Het Lichthuis,Zandvoort,One-Bedroom Apartment,"? 16,288",500,9,Zandvoort,
487,Boutique Hotel LE•BAR,Zandvoort,Deluxe King Studio,"? 17,276",15,9.1,Zandvoort,
488,BUDDHA BEACH BUNGALOWS Adults Only,Zandvoort,One-Bedroom Chalet,"? 27,470",500,9.1,Zandvoort,
489,Queens Beachhouse,Zandvoort,One-Bedroom Apartment,"? 9,802",74,8.9,Zandvoort,
490,Studio Wijkhuizen,Zandvoort,Twin Room with Private Bathroom,"? 10,140",122,8.7,Zandvoort,
491,Hotel At Sea,Zandvoort,Double Room with Terrace,"? 13,896",500,8.9,Zandvoort,
492,STRAND 21 hotelchalets,Zandvoort,Superior Family Room with Sea View,"? 18,778",625,8.9,Zandvoort,
493,Boutique hotel Margretha,Zandvoort,Superior Suite,"? 18,928",500,8.8,Zandvoort,
494,Amsterdam Beach Hotel,Zandvoort,Double Room,"? 13,295",1415,8,Zandvoort,
495,Hotel Paradis,Zandvoort,Standard Double or Twin Room with Balcony,"? 14,955",500,8.2,Zandvoort,
496,Hofje van Maas,Zandvoort,Small Double Room,"? 9,065",208,7.9,Zandvoort,
497,Zaras Studios,Zandvoort,Queen Studio,"? 10,464",85,7.8,Zandvoort,
498,Beachhotel Zandvoort by Center Parcs,Zandvoort,2-person Premium Hotelroom,"? 12,165",4375,7.8,Zandvoort,
499,Hotel Zeespiegel,Zandvoort,Double Room,"? 9,797",2019,7.1,Zandvoort,
500,Palace Hotel Zandvoort,Zandvoort,Twin room-Landside,"? 15,989",660,7.2,Zandvoort,
501,Hotel Doppenberg,Zandvoort,Junior Suite with Balcony,"? 17,488",605,7.3,Zandvoort,
502,budget rooms Doppenberg,Zandvoort,Budget Twin Room,"? 10,762",220,6.8,Zandvoort,
503,Pension Marco,Zandvoort,Double Room with Shared Bathroom,"? 8,230",182,6.2,Zandvoort,
504,De Langenlee,Zwolle,Double Room with Private Bathroom,"? 8,164",229,9.4,Zwolle,
505,De Pelsertoren,Zwolle,Suite,"? 9,797",712,9,Zwolle,
506,Pillows Grand Boutique Hotel Ter Borch Zwolle,Zwolle,Deluxe Room,"? 14,288",916,9.1,Zwolle,
507,Librije's Hotel,Zwolle,Junior Suite,"? 26,126",71,9.1,Zwolle,
508,Thorbecke Canal View,Zwolle,Superior Twin Room with City View,"? 8,981",236,8.5,Zwolle,
509,B&B In de Kromme Jak,Zwolle,Double or Twin Room,"? 9,307",349,8.5,Zwolle,
510,Hotel Lumen Zwolle,Zwolle,Comfort Double or Twin Room,"? 9,797",2931,8.5,Zwolle,
511,Bilderberg Grand Hotel Wientjes,Zwolle,Classic Double Room,"? 10,614",500,8.5,Zwolle,
512,Apart! Food & Drinks Apartments,Zwolle,Deluxe Double Room,"? 11,348",532,8.8,Zwolle,
513,Van Der Valk Hotel Zwolle,Zwolle,Comfort Twin Room,"? 11,430",787,8.7,Zwolle,
514,Bnb de rode kamer,Zwolle,Double Room with Shared Bathroom,"? 6,123",43,8,Zwolle,
515,Bed & Breakfast 'Aan de IJssel',Zwolle,Double Room with Shared Shower and Toilet,"? 6,531",142,8.3,Zwolle,
516,B&B de Luwte Cottage,Zwolle,Comfort Double Room,"? 7,266",151,8.1,Zwolle,
517,Hotel Oldenburg,Zwolle,Standard Double Room with External Toilet,"? 7,348",422,8.1,Zwolle,
518,Hotel Fidder - Patrick's Whisky Bar,Zwolle,Twin Room,"? 7,838",1537,8.2,Zwolle,
519,Buitenplaats de Luwte,Zwolle,Deluxe Twin Room,"? 8,532",316,8.2,Zwolle,
520,Stadslogement Bij de Sassenpoort,Zwolle,Superior Apartment,"? 8,899",232,8.4,Zwolle,
521,Mercure Hotel Zwolle,Zwolle,Standard Double Room,"? 10,205",1402,7.7,Zwolle,
522,The Cabin at Zwolle Centraal,Zwolle,Double Room with Private Bathroom,"? 6,123",149,7.2,Zwolle,
523,Hanze Hotel Zwolle,Zwolle,Standard Twin Room,"? 7,789",1095,7.2,Zwolle,
524,Campanile Hotel & Restaurant Zwolle,Zwolle,Double Room,"? 6,870",2071,6.4,Zwolle,
